voyageid,mjbyptimp,majbyimp,date_dep,mjslptimp,mjselimp,date_end
42898,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,,Ocoa,Hispaniola,
41935,Portuguese Guinea,Senegambia and offshore Atlantic,1586-??-??,Puerto Rico; port unspecified,Puerto Rico,
42507,Africa.; port unspecified,Other Africa,1587-??-??,Spanish Circum-Caribbean;unspecified,Spanish Circum-Caribbean,
98831,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1585-??-??,Spanish Americas; port unspecified,Spanish Americas,
42648,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1587-??-??,New Spain,Spanish Circum-Caribbean,
28997,West Central Africa and St. Helena; port unspecified,West Central Africa and St. Helena,,Venezuela,Spanish Circum-Caribbean,
29781,São Tomé,Bight of Biafra and Gulf of Guinea islands,1586-??-??,Veracruz,Spanish Circum-Caribbean,
29783,Portuguese Guinea,Senegambia and offshore Atlantic,1587-??-??,Cartagena,Spanish Circum-Caribbean,
29784,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1587-??-??,New Spain,Spanish Circum-Caribbean,
28063,Africa.; port unspecified,Other Africa,,Cartagena,Spanish Circum-Caribbean,
28064,Portuguese Guinea,Senegambia and offshore Atlantic,1586-??-??,Cartagena,Spanish Circum-Caribbean,
28065,Cape Verde Islands,Senegambia and offshore Atlantic,1586-??-??,Cartagena,Spanish Circum-Caribbean,
28066,Portuguese Guinea,Senegambia and offshore Atlantic,1586-??-??,Cartagena,Spanish Circum-Caribbean,
28067,Africa.; port unspecified,Other Africa,,Cartagena,Spanish Circum-Caribbean,
28068,Cape Verde Islands,Senegambia and offshore Atlantic,1586-??-??,Cartagena,Spanish Circum-Caribbean,
42678,Senegambia and offshore Atlantic; port unspecified,Senegambia and offshore Atlantic,1588-??-??,New Spain,Spanish Circum-Caribbean,
